,name,img url,ingredients,recipe,garnish,notes,url
526,Planter's Punch,https://recipe.awesomedrinks.com/media/cocktails/planters-punch.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Dark Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Grenadine'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '4', 'unit': 'dashes', 'name': 'Angostura bitters'}]","Add all ingredients into a cocktail shaker with ice and shake for 15 seconds and strain into a chilled coupe glass. Use your favorite dark rum for this recipe, we love Plantation Original Dark for this build.
source unknown",None,Foamy Fruity flavors mingled with molasses forward dark rum with a juicy tropical loveliness.,https://recipe.awesomedrinks.com/recipe/planters-punch/
527,Pusser's Painkiller ™,https://recipe.awesomedrinks.com/media/cocktails/painkiller.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': ""Pusser's Rum""}, {'amount': '120.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Coco Lopez - Cream of Coconut'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Strain over fresh ice into an old fashioned glass and garnish with a liberal amount of nutmeg.
Daphne Henderson",Nutmeg,"Smooth mouthfeel like that of a blended drink, with coconut dominating, rum on the back end and a lovely nutmeg aromatic, on the sweeter side. Not too unlike a pina colada.",https://recipe.awesomedrinks.com/recipe/pussers-painkiller-tm/
528,Rum Flower,https://recipe.awesomedrinks.com/media/cocktails/rum_flower.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Elderflower Liqueur'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Raspberry Syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds and strain into a chilled coupe glass.
Jennifer Schommer",None,"A balance of elderflower and raspberry, slightly on the fruity/sweeter side with rich molasses, brown sugar notes and a full acidic structure.",https://recipe.awesomedrinks.com/recipe/rum-flower/
529,Rum Runner,https://recipe.awesomedrinks.com/media/cocktails/rum-runner.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Chambord / Raspberry Liqueur'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Banana liqueur'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Aged Rum'}, {'amount': '1', 'unit': 'splash', 'name': 'Grenadine'}]","Add everything into a cocktail shaker and shake it all for 10 to 15 seconds and strain into a tall glass. Garnish with an orange wheel.
source unknown",Orange Wheel,"Raspberry candy with a little banana filling; This is a potent number, you can taste the alcohol.",https://recipe.awesomedrinks.com/recipe/rum-runner/
530,Sex on the Beach,https://recipe.awesomedrinks.com/media/cocktails/sex-on-the-beach.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Vodka'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Peach Schnapps'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Cranberry Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Chambord / Raspberry Liqueur'}]","Add all ingredients to a cocktail shaker and shake for 10 seconds. Strain over ice into a tall glass. For true 80's appeal, add cocktail parasole with a flagged cherry and orange. Or, just use an orange slice as your garnish.
source unknown",Orange Slice,"Sweet up front and dry in the back, with some red lollipop flavor or watermelon jolly rancher.",https://recipe.awesomedrinks.com/recipe/sex-on-the-beach/
531,Slow Comfortable Screw,https://recipe.awesomedrinks.com/media/cocktails/slow-co-screw.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Southern Comfort'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '105.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Sloe Gin'}]","Stir juice, southern comfort and bourbon together with ice until chilled and strain over fresh ice into a highball glass. Float with sloe gin on top (it will sink) and serve.
source unknown",None,Taste like freshly squeezed orange juice with a twang of southern comfort sweetness.,https://recipe.awesomedrinks.com/recipe/slow-comfortable-screw/
532,Strawberry Daiquiri,https://recipe.awesomedrinks.com/media/cocktails/strawbery-daiquiri.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Rich simple syrup'}, {'amount': '2', 'unit': '', 'name': 'Strawberries'}]","Add all ingredients to a blender and add six cubes of ice (or around 8 ounces / 1 cup) and blend for 10-15 seconds or until smooth.
Common Man Cocktails",Strawberry Slice,Sweet strawberries and a light sour lime with a cold refreshing taste.,https://recipe.awesomedrinks.com/recipe/strawberry-daiquiri/
533,Tequila Sunrise,https://recipe.awesomedrinks.com/media/cocktails/tequila-sunrise.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Blanco Tequila'}, {'amount': '120.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Grenadine'}]","Add ice to a highball glass and add tequila and orange juice. Sink grenadine to the bottom by slowly pouring it into the drink.
source unknown",Orange Wheel / Cherry,"Citrus and agave with a light sweetness, works great with all style of tequila especially Reposado tequila.",https://recipe.awesomedrinks.com/recipe/tequila-sunrise/
534,3 Dots and a Dash,https://recipe.awesomedrinks.com/media/cocktails/3-dots-dash.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Martinique Rhum / Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Honey Syrup / Mix'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Falernum Syrup'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Allspice dram / liqueur'}, {'amount': '3', 'unit': '', 'name': 'Luxardo Maraschino Cherry'}]","Combine everything into a blender and blend at high speed for about 5 seconds. Pour into a tall glass and garnish with 3 cherries and a pineapple spear (can also stick the a blade of the pineapple in there). The three cherries are your three ""dots"" and the spear is the ""dash.""
Beachbum Berry's Sippin' Safari",Three Maraschino Cherries and a Pineapple Spear,"Distinct clove-forward flavor, allspice with a nice bite of sour lime and a finishing of warm rum and Martinique funkiness.",https://recipe.awesomedrinks.com/recipe/3-dots-and-a-dash/
535,Ancient Mariner,https://recipe.awesomedrinks.com/media/cocktails/ancient_mariner.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Dark Jamaican rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Demerara Simple Syrup'}, {'amount': '2', 'unit': 'dashes', 'name': 'Allspice dram / liqueur'}]","Build all ingredients in a cocktail shaker with ice and shake for 15 seconds. Dump contents of shaker into a chilled old fashioned glass, garnish and serve!

Bonus points? Score your lime wedge to make it look fancy.
Jeff Berry REMIXED",Lime wedge and mint sprig,"Rich molasses notes, a mild to moderate sweetness of allspice and demerara. Refreshing and well balanced.",https://recipe.awesomedrinks.com/recipe/ancient-mariner/
536,Ankle Breaker,https://recipe.awesomedrinks.com/media/cocktails/ankle_breaker_700.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Cherry Heering Liqueur'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Overproof Rum / 151'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}]","Add all ingredients into your cocktail shaker, add crushed ice and shake for 10 seconds, dump contents into an old fashioned glass and serve.
Jeff Berry's REMIXED",None,Well balanced rum and dark smokey cherry,https://recipe.awesomedrinks.com/recipe/ankle-breaker/
537,Aztec Sacrifice,https://recipe.awesomedrinks.com/media/cocktails/aztec_sacrifice.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Anejo Tequila'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Amaretto'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Ginger Beer'}, {'amount': '8', 'unit': 'dashes', 'name': 'Bittercube Chipotle Cacao Bitters'}]","Add all ingredients but ginger beer to a cocktail shaker with ice and shake for 15 seconds. Strain into a chilled nick and nora glass and top with ginger beer.
Common Man Cocktails",None,"A spicy ginger zing, a spicy bite of mole flavor and smooth tequila with a nice balance of sweet and tart, slight tiki tropic flavor.",https://recipe.awesomedrinks.com/recipe/aztec-sacrifice/
538,Bali Bali,https://recipe.awesomedrinks.com/media/cocktails/BaliBali_Tiki_700x700.png.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Dark Puerto Rican Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Cognac / Brandy'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Gin'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Falernum Syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Passion fruit syrup'}]","Add all ingredients to a cocktail shaker and shake aggressively for 15 seconds and strain over crushed ice into a tiki glass.
Jeff Berry's REMIXED",None,"Funky rum flavor, classic juicy tiki with mild tart and sour finish",https://recipe.awesomedrinks.com/recipe/bali-bali/
539,Bamboo Screwdriver,https://recipe.awesomedrinks.com/media/cocktails/bamboo-screwdriver.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Dark Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Orange Liqueur'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '4', 'unit': 'dashes', 'name': 'Angostura bitters'}]","Add all ingredients in a cocktail shaker with ice and shake for 15 second. Strain over ice into an old fashioned glass.
source unknown",None,"Brown sugar, slight bitterness, allspice with a little rum flavor in the finish.",https://recipe.awesomedrinks.com/recipe/bamboo-screwdriver/
540,Banana Daiquiri,https://recipe.awesomedrinks.com/media/cocktails/banana-daiquiri.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Puerto Rican Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '120.0', 'unit': 'ml', 'name': 'Ice'}, {'amount': '0.5', 'unit': '', 'name': 'Banana'}]","Cut and peal half a banana, add banana and all remaining ingredients into blender and blend for 10 seconds or until smooth.

Use your favorite rum for this drink, it makes a difference.
Beachbum Berry REMIXED",None,A subtle banana flavor with the focused flavor of your rum breaking right through without being boozy.,https://recipe.awesomedrinks.com/recipe/banana-daiquiri/
541,Barmuda Triangle,https://recipe.awesomedrinks.com/media/cocktails/barmuda-triangle.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Rye Whiskey'}, {'amount': '22.5', 'unit': 'ml', 'name': ""Gosling's Black Seal Rum""}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Amaretto'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}]","Add all ingredients into a cocktail shaker with ice and shake for 15 seconds. Strain into a chilled coupe glass and serve.
source unknown",None,"Dry and acidic, not too sweet, but all the flavors pair well together without anything overpowering; a bit of molasses/blackstrap, musty rye and hard to put down.",https://recipe.awesomedrinks.com/recipe/barmuda-triangle/
542,Barrel o' Rum,https://recipe.awesomedrinks.com/media/cocktails/barrel-o-rum.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Puerto Rican Rum'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Dark Rum'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Honey Syrup / Mix'}, {'amount': '6', 'unit': 'dashes', 'name': 'Angostura bitters'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Club Soda'}]","Add all ingredients to a tin with crushed ice and pulse/blend for 5 seconds (we prefer the Hamilton Beach 730C Classic DrinkMaster Drink Mixer). Dump contents into tiki mug or rum barrel if you have one (especially if it's the Mai Kai rum barrel).
Beachbum Berry's Taboo Table",None,"Sweet and smooth passion fruit tartness with a mild sour and a good balance of sweet flavor, doesn't feel like four ounces of alcohol. Like a passion fruit lemonade.",https://recipe.awesomedrinks.com/recipe/mai-kais-barrel-of-rum/
543,Beachcomber's Punch,https://recipe.awesomedrinks.com/media/cocktails/beachcombers_punch700x700.png.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Apricot Brandy'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '1', 'unit': 'dash', 'name': 'Pernod / Absinthe'}, {'amount': '1', 'unit': 'dash', 'name': 'Angostura bitters'}]","Add all ingredients to a blender and blend for 5 seconds, pour into a champagne flute with additional crushed ice and garnish with mint. We suggest the ""dash"" of pernod / absinthe utilize about six drops.
Jeff Berry's REMIXED",Mint Sprig,"Fruity flavors of mild grapefruit, and citrus with a light sweet brown sugar molasses finish",https://recipe.awesomedrinks.com/recipe/beachcombers-punch/
544,Boars Tooth,https://recipe.awesomedrinks.com/media/cocktails/boars-tooth.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Gold Jamaican Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Orgeat / Almond syrup'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Coco Lopez - Cream of Coconut'}, {'amount': '2', 'unit': 'dashes', 'name': 'Angostura bitters'}, {'amount': '1', 'unit': 'splash', 'name': 'Grenadine'}, {'amount': '1', 'unit': '', 'name': 'Luxardo Maraschino Cherry'}]","Add all ingredients to a cocktail shaker and shake aggressively for 15 seconds and dump contents of shaker into your glass. Garnish with a lime wedge and maraschino cherry.
source unknown",Lime wedge and maraschino cherry,"On the sweeter side, with lots of coconut and pina colada flavor with a warm rum finish.",https://recipe.awesomedrinks.com/recipe/boars-tooth/
545,Common Man Sour,https://recipe.awesomedrinks.com/media/cocktails/common-man-sour.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Orgeat / Almond syrup'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Fernet Branca'}, {'amount': '1', 'unit': 'pinch', 'name': 'Salt'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds. Strain into a chilled nick & nora glass, no garnish required.
Common Man Cocktails",None,"A balance of bitter eucalyptus, subtle almond with just the right citrus tart; ""tiki taste"" profile.",https://recipe.awesomedrinks.com/recipe/common-man-sour/
546,Davy Jones's Locker,https://recipe.awesomedrinks.com/media/cocktails/davey_jones_locker.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Gold Jamaican Rum'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Fernet Branca'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh grapefruit juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Cinnamon syrup'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Fresh lime juice'}]","Add all ingredients to a cocktail shaker and shake for 15 seconds, strain into a chilled Nick & Nora glass and garnish with a lime.
Brad Farran",Lime Wheel,"Dry citrus start, herbal eucalyptus finish, a bit potent",https://recipe.awesomedrinks.com/recipe/davy-joness-locker/
547,Dead Bastard,https://recipe.awesomedrinks.com/media/cocktails/suffering-bastard_wEBdoyP.jpg.300x300_q85_crop.jpg,"[{'amount': '15.0', 'unit': 'ml', 'name': 'Gin'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Brandy / Cognac'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '120.0', 'unit': 'ml', 'name': 'Ginger Ale'}, {'amount': '2', 'unit': 'dashes', 'name': 'Angostura bitters'}]","Add all ingredients except ginger beer to a cocktail shaker and shake for 15 seconds. Slowly stir ginger beer into your cocktail shaker to integrate. Then dump entire contents of your cocktail shaker into a double old fashioned glass. Garnish with mint sprig and orange slice.
Jeff Berry REMIXED",Mint & Orange Slice,Light/muted combination of bourbon and spicy ginger that remains light and refreshing. Not as bourbon-flavored as the dying bastard recipe.,https://recipe.awesomedrinks.com/recipe/dead-bastard/
548,Demerara Dry Float,https://recipe.awesomedrinks.com/media/cocktails/demerara_dry_float.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Demerara Rum'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Overproof Rum / 151'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Maraschino Liqueur'}, {'amount': '75.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Fresh lemon juice'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Simple syrup'}]","Add all ingredients except the overproof rum together in a cocktail shaker with ice and shake aggressively for 15 seconds. Strain over ice into an old fashioned glass and carefully top (pour over the back of a spoon) with overproof rum.

We suggest an overproof dark rum such as LemonHart 151 for this drink; a clear overproof rum won't look as pretty.
Intoxica by Jeff Berry",None,Sweet and Tart with a growing tangy bite that grows on you while also bringing a good sour citrus,https://recipe.awesomedrinks.com/recipe/demerara-dry-float/
549,Doctor Funk,https://recipe.awesomedrinks.com/media/cocktails/dr-funk.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Light Puerto Rican Rum'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Pernod / Absinthe'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Grenadine'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Club Soda'}]","Shake all ingredients except club soda with ice for 15 seconds. Dump shaker contents into pilsner glass, tiki mug or favorite drinking vessel. Top with club soda, add more ice if needed.
Intoxica by Jeff Berry",None,"Lemonade and Good & Plenty candy, a light and refreshing sour against black licorice",https://recipe.awesomedrinks.com/recipe/doctor-funk/
550,Drunken Pimento,https://recipe.awesomedrinks.com/media/cocktails/drunken-pimento.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Aged Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Spiced Rum'}, {'amount': '22.5', 'unit': 'ml', 'name': ""Don's Spice #2""}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Ginger Ale'}]","Add all ingredients except ginger ale to a cocktail shaker with ice and shake for 15 seconds. Strain over ice into an old fashioned glass and top with ginger ale. Garnish with a lime wheel.
Derrick and Jennifer Schommer",Lime Wheel,"Rich robust flavor, pronounced aged rum, brown sugar and allspice notes with a muted clove and vanilla.",https://recipe.awesomedrinks.com/recipe/drunken-pimento/
551,Dying Bastard,https://recipe.awesomedrinks.com/media/cocktails/suffering-bastard_Tu8jJhY.jpg.300x300_q85_crop.jpg,"[{'amount': '15.0', 'unit': 'ml', 'name': 'Gin'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Brandy / Cognac'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Bourbon Whiskey'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '120.0', 'unit': 'ml', 'name': 'Ginger Beer'}, {'amount': '2', 'unit': 'dashes', 'name': 'Angostura bitters'}]","Add all ingredients except ginger beer to a cocktail shaker and shake for 15 seconds. Slowly stir ginger beer into your cocktail shaker to integrate. Then dump entire contents of your cocktail shaker into a double old fashioned glass. Garnish with mint sprig and orange slice.
Jeff Berry REMIXED",Mint & Orange Slice,Great combination of bourbon and spicy ginger that remains light and refreshing while carrying a bit of alcohol.,https://recipe.awesomedrinks.com/recipe/dying-bastard/
552,Easy Pina Colada,https://recipe.awesomedrinks.com/media/cocktails/easy-pina-colada.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '37.5', 'unit': 'ml', 'name': 'Coconut Rum'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Vanilla Rum'}]","Add all ingredients to a cocktail shaker and shake for 15 seconds. Strain into a martini / coupe glass and serve! Easy!
source unknown",None,"It tastes like a pina colada, flavorful rum, vanilla and pineapple all in your business.",https://recipe.awesomedrinks.com/recipe/easy-pina-colada/
553,Fog Cutter,https://recipe.awesomedrinks.com/media/cocktails/fog-cutter.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Light Puerto Rican Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Brandy / Cognac'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Gin'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Fresh lemon juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Orgeat / Almond syrup'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Cream Sherry'}]","Add all ingredients but the Sherry into a cocktail shaker with ice and shake for 15 seconds. Dump contents of shaker into a fog cutter glass (or tall highball) and float sherry on top. Garnish, straw, and serve.
Jeff Berry REMIXED",None,"Super sour with light sweet, and a vermouth-like sherry finish that may leave you shaking from the bite.",https://recipe.awesomedrinks.com/recipe/fog-cutter/
554,Hawaiian Slammer,https://recipe.awesomedrinks.com/media/cocktails/Hawaiian_Slammer700x700.jpg.300x300_q85_crop.jpg,"[{'amount': '30.0', 'unit': 'ml', 'name': 'Overproof Rum / 151'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Banana liqueur'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Coconut Rum'}, {'amount': '90.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '90.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Grenadine'}]","Add all ingredients to a shaker with ice and shake aggressively for 15 seconds, strain over ice into a tall hi-ball glass and add maraschino cherries on an umbrella. Serve.
source unknown",Two Maraschino Cherries / Parasol,"Fruity, but also intense with flavorful coconut and banana, and a bit of a rum bite.",https://recipe.awesomedrinks.com/recipe/hawaiian-slammer/
555,Hotel Nacional,https://recipe.awesomedrinks.com/media/cocktails/hotel_nacional.jpg.300x300_q85_crop.jpg,"[{'amount': '45.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Apricot Brandy'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Pineapple Juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '15.0', 'unit': 'ml', 'name': 'Simple syrup'}]","Add all ingredients to a cocktail shaker with ice and shake for 15 seconds aggressively (to build a nice pineapple foam). Strain into a chilled coupe glass and serve.

Alternatively this works great with a dark rum.
source unknown",None,"A bold rum flavor balanced against tropical pineapple and apricot, a floral slightly delicate sour",https://recipe.awesomedrinks.com/recipe/hotel-nacional/
556,Hurricane,https://recipe.awesomedrinks.com/media/cocktails/hurricane.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Dark Rum'}, {'amount': '60.0', 'unit': 'ml', 'name': 'Light Rum'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh lime juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Fresh orange juice'}, {'amount': '30.0', 'unit': 'ml', 'name': 'Passion fruit syrup'}, {'amount': '1', 'unit': 'barspoon', 'name': 'Grenadine'}]","Add all ingredients into a cocktail shaker with ice and shake for 15 seconds. Strain into an iced Hurricane Glass or Hi-Ball. Garnish and serve.
source unknown",Orange slice and cherry,A flavorful fruit blend with a tart profile and a mild sour bite.,https://recipe.awesomedrinks.com/recipe/hurricane/
557,Java Tai,https://recipe.awesomedrinks.com/media/cocktails/java-tai.jpg.300x300_q85_crop.jpg,"[{'amount': '60.0', 'unit': 'ml', 'name': 'Aged Rum'}, {'amount': '7.5', 'unit': 'ml', 'name': 'Averna Amaro'}, {'amount': '45.0', 'unit': 'ml', 'name': 'Black Coffee'}, {'amount': '22.5', 'unit': 'ml', 'name': 'Orgeat / Almond syrup'}, {'amount': '1', 'unit': '', 'name': 'Whole Egg'}]","Brew strong coffee / espresso and let it cool. Add all ingredients to a cocktail shaker and ""dry shake"" (without ice) for 20 seconds aggressively. Add ice to your cocktail shaker and shake for an additional 15 seconds and strain into a chilled coupe glass.
source unknown",None,"Deliciously silky smooth coffee flavor, like a coffee milk with no alcohol taste.",https://recipe.awesomedrinks.com/recipe/java-tai/
